Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
32.7,1,4,1550000,"Калининградская область, Калининград, р-н Центральный, Сестрорецкая улица",17,8,1937,1, совмещенный,,,Косметический,Кирпичный,,,
32.6,1,3,1600000,"Калининградская область, Калининград, р-н Центральный, проспект Победы, 189",16.3,8.8,,,,,,,,,,
35.5,3,5,1600000,"Калининградская область, Калининград, р-н Центральный, Алданская улица, 20",16.8,9.4,1986,1, совмещенный,1, балкон,Косметический,,,,
36.1,5,5,1650000,"Калининградская область, Калининград, р-н Центральный, Советский проспект, 202",17.6,13.2,1980,,,,,Косметический,,,,
30,2,2,1720000,"Калининградская область, Калининград, р-н Центральный, Окуловская улица, 19",15.5,7,1945,,,,,,Кирпичный,Смешанные,Автономная котельная,Центральное
35,4,5,1700000,"Калининградская область, Калининград, р-н Центральный, Бассейная улица, 47",13,15,1978,1, раздельный,,,Косметический,Блочный,Железобетонные,Центральное,Центральное
28,1,3,1700000,"Калининградская область, Калининград, р-н Центральный, Косогорная улица, 7",12,12,1940,,,,,Косметический,,,,
36.6,5,5,1700000,"Калининградская область, Калининград, р-н Центральный, Советский проспект",17.6,13.2,1980,1, совмещенный,,,Косметический,Кирпичный,,,
30.2,5,5,1720000,"Калининградская область, Калининград, р-н Центральный, улица Маршала Борзова, 88",16,6,1971,1, совмещенный,1, балкон,Косметический,,,,
40,1,3,1780000,"Калининградская область, Калининград, р-н Центральный, улица Каблукова, 26",20,14,2019,1, совмещенный,,,Без ремонта,,,,
30,4,5,1780000,"Калининградская область, Калининград, р-н Центральный, Бассейная улица, 51",16,6,1976,,,1, балкон,Косметический,,,,
32,5,5,1899990,"Калининградская область, Калининград, р-н Центральный, улица Сержанта Мишина, 8",18,7,1983,1, совмещенный,1, балкон,Косметический,Кирпичный,Железобетонные,Центральное,Центральное
37,1,3,1970000,"Калининградская область, Калининград, р-н Центральный, Харьковская улица, 25",22,8,1945,,,,,Без ремонта,,,,
