Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
42.5,2,10,3700000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина, 16Г",18,12,2016,1, совмещенный,,,Евроремонт,,Железобетонные,Котел/Квартирное отопление,Центральное
32,1,5,1850000,"Калининградская область, Калининград, р-н Ленинградский, Краснодонская улица",,,2002,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
41,2,5,1900000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",,,1988,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
37,4,5,1750000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",,,1980,1, совмещенный,1, балкон,Евроремонт,,,,
33,9,10,2050000,"Калининградская область, Калининград, р-н Ленинградский, Московский проспект",,,1978,1, раздельный,1, лоджия,Евроремонт,Панельный,,,
43,2,4,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",,,1945,,,,,Косметический,Кирпичный,,,
46,5,9,2450000,"Калининградская область, Калининград, р-н Ленинградский, улица Виктора Денисова",,12,2017,1, совмещенный,,,Косметический,Кирпичный,,,
40,2,9,2500000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Челнокова",,,2008,1, совмещенный,1, лоджия,Косметический,Блочный,,,
47,9,10,2600000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Челнокова",,,2008,1, совмещенный,1, лоджия,Евроремонт,Блочный,,,
41,8,12,2800000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",,,,1, совмещенный,1, балкон,Косметический,,,,
44,10,10,2550000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",,,2007,1, совмещенный,,,Евроремонт,Кирпичный,,,
48,3,6,2500000,"Калининградская область, Калининград, р-н Ленинградский, улица Аксакова",19,,2006,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
32,3,5,1900000,"Калининградская область, Калининград, р-н Ленинградский, Артиллерийская улица",,,1983,1, раздельный,1, балкон,Косметический,Панельный,,,
35,2,5,1900000,"Калининградская область, Калининград, р-н Ленинградский, Лесопильная улица",,,,1, совмещенный,1, балкон,Косметический,,,,
42,9,9,2999000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Челнокова",18,12,2009,1, совмещенный,1, лоджия,Евроремонт,Монолитный,,,
19.4,5,5,1350000,"Калининградская область, Калининград, р-н Ленинградский, Партизанский переулок, 5",14,3,,1, совмещенный,,,Без ремонта,,,,
35,3,4,2200000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",,,,,,,,Дизайнерский,,,,
34,5,9,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Куйбышева",,,1977,1, раздельный,1, лоджия,Без ремонта,Кирпичный,,,
45,6,11,3100000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Раевского",,,2012,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
40,1,10,2250000,"Калининградская область, Калининград, р-н Ленинградский, Балашовская улица",,,2008,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
33,2,2,2190000,"Калининградская область, Калининград, р-н Ленинградский, Ялтинский переулок",,,,1, совмещенный,,,Косметический,,,,
35.5,4,5,1910000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",17.5,10,,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
39,8,10,2150000,"Калининградская область, Калининград, р-н Ленинградский, улица Гайдара",18,8,1994,1, раздельный,1, балкон,Косметический,Блочный,,,
49.6,2,7,3400000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",20,14,2009,1, совмещенный,,,Дизайнерский,Кирпичный,,,
38,3,9,2450000,"Калининградская область, Калининград, р-н Ленинградский, Нарвская улица",19,9,1983,1, совмещенный,,,Косметический,Панельный,,,
44.5,1,3,3250000,"Калининградская область, Калининград, р-н Ленинградский, Колхозная улица",20,13,1945,1, совмещенный,,,Евроремонт,Кирпичный,,,
34.2,9,9,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Еловая Аллея",16.8,8.2,1980,1, раздельный,1, лоджия,Косметический,Блочный,,,
44.1,10,10,2900000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Раевского",15,17,2012,1, совмещенный,,,Евроремонт,Кирпичный,,,
34.1,4,10,3750000,"Калининградская область, Калининград, р-н Ленинградский, Юбилейная улица",12.5,10.2,2019,1, совмещенный,1, лоджия,Евроремонт,Монолитный,,,
52.2,5,10,3900000,"Калининградская область, Калининград, р-н Ленинградский, Зеленая улица",23.9,12,2005,1, совмещенный,,,Евроремонт,Монолитно кирпичный,,,
47,1,9,3490000,"Калининградская область, Калининград, р-н Ленинградский, Первомайская улица",20,13,2011,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
41,9,9,2850000,"Калининградская область, Калининград, р-н Ленинградский, Нарвская улица, 68А",25,11,2006,1, совмещенный,1, лоджия,Косметический,Кирпичный,Железобетонные,Центральное,Центральное
48,9,12,4660000,"Калининградская область, Калининград, р-н Ленинградский, Артиллерийская улица",14,14,2015,1, раздельный,1, балкон,Без ремонта,Кирпичный,,,
41,3,10,2550000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Челнокова, 40",18,12,2009,1, совмещенный,1, балкон,Косметический,Монолитный,Железобетонные,Центральное,Центральное
37,5,5,2850000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского, 257",18.5,10,2016,1, совмещенный,1, балкон,Косметический,,Железобетонные,Центральное,Автономное
41.6,4,10,4300000,"Калининградская область, Калининград, р-н Ленинградский, Клиническая улица, 23",,,,,,,,,,,,
37,9,10,3300000,"Калининградская область, Калининград, р-н Ленинградский, Малоярославская улица, 6",16,10,2019,1, совмещенный,1," балкон, ",Евроремонт,,,,
51,4,5,3850000,"Калининградская область, Калининград, р-н Ленинградский, улица Еловая Аллея, 76",21.3,12.5,2003,1, совмещенный,1, лоджия,Без ремонта,,,,
30,6,9,2800000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова, 10",15,7.2,2020,1, совмещенный,1, лоджия,Евроремонт,,,,
41.6,2,9,3250000,"Калининградская область, Калининград, р-н Ленинградский, улица Аксакова, 133",18,12,2012,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
48,6,9,4700000,"Калининградская область, Калининград, р-н Ленинградский, Майский переулок, 5",30,16,2015,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,Железобетонные,Центральное,Центральное
13.3,1,5,900000,"Калининградская область, Калининград, р-н Ленинградский, Партизанский переулок, 1",7.7,,1969,1, совмещенный,,,Косметический,Кирпичный,Железобетонные,Центральное,
44,15,17,3350000,"Калининградская область, Калининград, р-н Ленинградский, Ялтинская улица, 4",19.4,13.1,2013,1, совмещенный,,,Евроремонт,,Железобетонные,Центральное,Центральное
36.1,3,4,2700000,"Калининградская область, Калининград, р-н Ленинградский, Театральная улица",19.7,7.4,,,,,,,,,,
30,1,5,1600000,"Калининградская область, Калининград, р-н Ленинградский, улица Куйбышева",15,,,1, совмещенный,,,Косметический,Кирпичный,,,
44,9,17,2850000,"Калининградская область, Калининград, р-н Ленинградский, Сельма мкр, улица Виллима Фермора",19,14,2012,1, совмещенный,,,Евроремонт,Монолитный,,,
46,4,9,4300000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова",18,14,2018,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
48.3,9,11,4640000,"Калининградская область, Калининград, р-н Ленинградский, Артиллерийская улица, 83",13.6,14.2,2017,1," совмещенный, ",2, балкона,Без ремонта,,Железобетонные,Центральное,
30,1,5,1450000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",14,8,1970,1, совмещенный,,,Косметический,Блочный,,,
30.5,6,9,2860000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова",14,7,2020,1, совмещенный,1, лоджия,Евроремонт,Монолитный,,,
40,3,5,2160000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",19,13,1987,1, раздельный,,,Евроремонт,Блочный,,,
34,9,10,2380000,"Калининградская область, Калининград, р-н Ленинградский, Суздальская улица",14,8,,1, совмещенный,,,Без ремонта,Кирпичный,,,
22,3,5,1600000,"Калининградская область, Калининград, р-н Ленинградский, Партизанский переулок, 3",16,4,,,,,,Косметический,,,,
40,9,17,2850000,"Калининградская область, Калининград, р-н Ленинградский, Сельма мкр, улица Виллима Фермора",18,,2013,1, совмещенный,,,Евроремонт,Монолитный,,,
46.1,1,10,2500000,"Калининградская область, Калининград, р-н Ленинградский, улица Согласия",18.9,11.7,2007,,,,,,,,,
37,6,9,3200000,"Калининградская область, Калининград, р-н Ленинградский, Мирная улица",16,10,2019,1, совмещенный,,,Евроремонт,Кирпичный,,,
51.3,9,12,4200000,"Калининградская область, Калининград, р-н Ленинградский, улица 9 Апреля, 88А",15,12.5,2019,1, совмещенный,1, лоджия,Без ремонта,,,,
26.5,3,4,1870000,"Калининградская область, Калининград, р-н Ленинградский, улица 1812 года",17,6.1,,1, раздельный,,,Косметический,Кирпичный,,,
43,3,9,3350000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",19.5,13,2015,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
48,4,5,3490000,"Калининградская область, Калининград, р-н Ленинградский, улица Еловая Аллея",20,12,1999,1, совмещенный,,,Косметический,Кирпичный,,,
41.1,5,5,3270000,"Калининградская область, Калининград, р-н Ленинградский, Стрелковая улица",21.2,12.1,2004,1, совмещенный,,,Евроремонт,Кирпичный,,,
