Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
40,6,9,1550000,"Калининградская область, Калининград, р-н Московский, улица Летний проезд",,,2007,1, раздельный,1, балкон,Косметический,Монолитный,,,
45,8,10,2200000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого",,,,1, совмещенный,1, балкон,Евроремонт,,,,
37,4,9,1750000,"Калининградская область, Калининград, р-н Московский, Машиностроительная улица",18,,,1, раздельный,1, лоджия,Косметический,,,,
36,1,2,1900000,"Калининградская область, Калининград, р-н Московский, Фабричная улица",,,,,,,,Косметический,,,,
31,1,5,1750000,"Калининградская область, Калининград, р-н Московский, Мукомольная улица",,,,,,1, лоджия,Косметический,,,,
35.1,1,3,2550000,"Калининградская область, Калининград, р-н Московский, улица Большая Песочная, 3",21,7,,,,,,Косметический,,,,
44,3,7,4850000,"Калининградская область, Калининград, р-н Московский, Октябрьская улица",16,13,2017,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
35,3,5,2200000,"Калининградская область, Калининград, р-н Московский, Ленинский проспект",,,1963,1, совмещенный,1, балкон,Косметический,Блочный,,,
35,8,8,2250000,"Калининградская область, Калининград, р-н Московский, улица Маршала Новикова",,,2016,,,1, лоджия,Косметический,,,,
47,12,16,2250000,"Калининградская область, Калининград, р-н Московский, Батальная улица",,,2009,1, совмещенный,1, лоджия,Евроремонт,Монолитный,,,
30.5,1,8,2190000,"Калининградская область, Калининград, р-н Московский, улица Маршала Новикова",,,2016,1, совмещенный,1, лоджия,Косметический,,,,
38,1,10,2350000,"Калининградская область, Калининград, р-н Московский, Судостроительная улица",,,2014,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
32.8,3,9,1650000,"Калининградская область, Калининград, р-н Московский, Батальная улица",19.1,6,,1, раздельный,,,Косметический,Панельный,,,
42,10,10,2750000,"Калининградская область, Калининград, р-н Московский, Эльблонгская улица",17,10,2010,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
33,4,5,2350000,"Калининградская область, Калининград, р-н Московский, улица Багратиона",17,6,,1, совмещенный,,,Евроремонт,Панельный,,,
36,9,10,2525000,"Калининградская область, Калининград, р-н Московский, улица Генерала Толстикова",16.1,8.5,2019,1, совмещенный,,,Косметический,Кирпичный,,,
32.7,3,4,2270000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица",18,8,1945,1, раздельный,1, балкон,Косметический,Кирпичный,,,
31,8,8,2500000,"Калининградская область, Калининград, р-н Московский, улица Маршала Новикова",17,7,2016,1, совмещенный,,,Евроремонт,Кирпичный,,,
44,5,9,2750000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого, 35",17,10,2007,1, совмещенный,1, лоджия,Евроремонт,Панельный,Железобетонные,Центральное,Центральное
39,3,3,1990000,"Калининградская область, Калининград, р-н Московский, Судостроительная улица",23,8,,1, совмещенный,1, балкон,Косметический,Сталинский,,,
38,5,5,1750000,"Калининградская область, Калининград, р-н Московский, бульвар Любови Шевцовой",17,7,,1, совмещенный,1, балкон,Косметический,Панельный,,,
34,3,5,1800000,"Калининградская область, Калининград, р-н Московский, улица Подполковника Емельянова",16,6,,1, совмещенный,1, балкон,Без ремонта,Кирпичный,,,
39,9,10,1900000,"Калининградская область, Калининград, р-н Московский, улица Аллея Смелых, 198",15.5,10.5,,1, совмещенный,1, лоджия,Без ремонта,,,,
30.7,4,5,1700000,"Калининградская область, Калининград, р-н Московский, Школьная улица",,,1977,1, совмещенный,1, балкон,Евроремонт,Блочный,,,
55.5,8,8,3600000,"Калининградская область, Калининград, р-н Московский, улица Александра Суворова, 40",26,18,2008,,,1, балкон,Дизайнерский,Кирпичный,Железобетонные,Центральное,Центральное
46,3,16,2750000,"Калининградская область, Калининград, р-н Московский, Батальная улица, 94",24,12,2009,1, совмещенный,1, лоджия,Косметический,Монолитный,Железобетонные,Центральное,
40,2,8,5000000,"Калининградская область, Калининград, р-н Московский, Малый переулок",20,15,2017,1, совмещенный,1, балкон,Дизайнерский,Кирпичный,,,
34,6,6,2500000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",16,8,2014,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
45,10,16,1999999,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого, 34",19.8,10.7,2014,1, совмещенный,1, лоджия,Без ремонта,Кирпичный,Железобетонные,Центральное,
23,1,5,1250000,"Калининградская область, Калининград, р-н Московский, Ангарская улица",,,1981,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
33.8,2,3,1950000,"Калининградская область, Калининград, р-н Московский, улица Левитана",,,2015,,,,,Косметический,Блочный,,,
33,2,5,2050000,"Калининградская область, Калининград, р-н Московский, улица Багратиона, 82",16,6,1967,1, совмещенный,,,Евроремонт,Блочный,Смешанные,Центральное,Центральное
40,5,9,1700000,"Калининградская область, Калининград, р-н Московский, Машиностроительная улица",,,,1, совмещенный,1, лоджия,Евроремонт,,,,
33,4,5,2000000,"Калининградская область, Калининград, р-н Московский, Ленинский проспект",,,,1, совмещенный,1, балкон,Косметический,,,,
34,3,7,2200000,"Калининградская область, Калининград, р-н Московский, улица Маршала Новикова",,,2016,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
31,1,2,1450000,"Калининградская область, Калининград, р-н Московский, улица Александра Суворова",,,,1, совмещенный,,,Косметический,,,,
30,5,5,1550000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица",18,,,1, совмещенный,,,Косметический,Кирпичный,,,
30,5,5,1300000,"Калининградская область, Калининград, р-н Московский, Черниговская улица",,,1972,1, совмещенный,1, балкон,Косметический,Блочный,,,
32.2,4,9,1850000,"Калининградская область, Калининград, р-н Московский, Автомобильная улица",,,,1, совмещенный,1, лоджия,Евроремонт,,,,
